date,amount,action,note
2025-04-14,1000.0,initial,Bankroll initiale
2025-04-14,1080.6,update,Résultat pari #1: win
2025-04-28,1293.8,update,Résultat pari #2: win
2025-05-12,1153.8,update,Résultat pari #3: loss
2025-05-12,1236.6,update,Résultat pari #4: win
2025-05-18,1182.6386687344914,update,Résultat pari #7: loss
2025-05-18,1359.5086687344915,update,Résultat pari #5: win
2025-05-18,1416.1661277021842,update,Résultat pari #6: win
2025-05-18,1466.2940639106994,update,Résultat pari #8: win
2025-05-18,1503.492110688569,update,Résultat pari #9: win
2025-05-18,1546.900425348931,update,Résultat pari #10: win
2025-06-01,1475.5304253489312,update,Résultat pari #12: loss
2025-06-01,1399.9504253489313,update,Résultat pari #11: loss
2025-06-09,1376.150425348931,update,Résultat pari #14: loss
2025-06-09,1402.5684253489312,update,Résultat pari #15: win
2025-06-09,1378.7684253489313,update,Résultat pari #16: loss
2025-06-09,1354.9684253489313,update,Résultat pari #17: loss
2025-06-09,1382.8144253489313,update,Résultat pari #18: win
2025-06-09,1359.0144253489314,update,Résultat pari #19: loss
2025-06-15,1408.679425348931,update,Résultat pari #20: win
2025-06-15,1385.5794253489314,update,Résultat pari #21: loss
2025-06-15,1399.6704253489313,update,Résultat pari #22: win
2025-06-15,1399.6704253489313,update,Résultat pari #23: void
2025-06-15,1413.2994253489312,update,Résultat pari #24: win
2025-06-15,1390.1994253489313,update,Résultat pari #25: loss
2025-06-15,1367.0994253489314,update,Résultat pari #26: loss
2025-06-15,1376.5994253489314,update,Résultat pari #27: win
2025-06-22,1353.1994253489313,update,Résultat pari #32: loss
2025-06-22,1329.7994253489312,update,Résultat pari #28: loss
2025-06-22,1306.3994253489311,update,Résultat pari #31: loss
2025-06-22,1282.999425348931,update,Résultat pari #30: loss
2025-06-22,1259.599425348931,update,Résultat pari #29: loss
2025-06-29,1277.583825348931,update,Résultat pari #33: win
2025-06-29,1299.207925348931,update,Résultat pari #34: win
2025-06-29,1277.797925348931,update,Résultat pari #35: loss
2025-06-29,1256.3879253489308,update,Résultat pari #36: loss
2025-06-29,1265.3801253489307,update,Résultat pari #37: win
2025-06-29,1276.9415253489308,update,Résultat pari #38: win
2025-07-13,1255.2315253489307,update,Résultat pari #42: loss
2025-07-13,1278.678325348931,update,Résultat pari #41: win
2025-07-13,1293.8753253489306,update,Résultat pari #40: win
2025-07-13,1329.6968253489306,update,Résultat pari #39: win
2025-07-20,1343.7088253489303,update,Résultat pari #43: win
2025-07-20,1343.7088253489303,update,Résultat pari #44: void
2025-07-26,1379.1108253489303,update,Résultat pari #47: win
2025-07-26,1356.2708253489304,update,Résultat pari #46: loss
2025-07-26,1383.9072253489303,update,Résultat pari #45: win
2025-08-03,1360.3772253489303,update,Résultat pari #48: loss
2025-08-03,1369.0833253489304,update,Résultat pari #49: win
2025-08-03,1382.9660253489303,update,Résultat pari #50: win
2025-08-03,1359.4360253489306,update,Résultat pari #51: loss
2025-08-10,1359.4360253489306,update,Résultat pari #53: void
2025-08-10,1372.1465253489305,update,Résultat pari #52: win
2025-08-16,1372.1465253489305,update,Résultat pari #56: void
2025-08-16,1372.1465253489305,update,Résultat pari #58: void
2025-08-17,1404.3419253489303,update,Résultat pari #60: win
2025-08-17,1381.0119253489306,update,Résultat pari #57: loss
2025-08-17,1437.0039253489306,update,Résultat pari #59: win
2025-08-17,1413.6739253489309,update,Résultat pari #55: loss
2025-08-17,1444.9361253489303,update,Résultat pari #54: win
2025-08-23,1420.3761253489304,update,Résultat pari #63: loss
2025-08-23,1436.5857253489305,update,Résultat pari #62: win
2025-08-23,1412.0257253489303,update,Résultat pari #61: loss
2025-09-07,1388.0257253489303,update,Résultat pari #66: loss
2025-09-07,1410.8257253489303,update,Résultat pari #64: win
2025-09-07,1428.3457253489305,update,Résultat pari #65: win
2025-09-07,1440.5857253489305,update,Résultat pari #67: win
2025-09-07,1393.7857253489303,update,Résultat pari #68: loss
2025-09-14,1370.0957253489305,update,Résultat pari #69: loss
2025-09-14,1410.3687253489302,update,Résultat pari #70: win
2025-09-14,1417.94952534893,update,Résultat pari #71: win
2025-09-14,1417.94952534893,update,Résultat pari #72: void
2025-09-14,1471.25202534893,update,Résultat pari #73: win
2025-09-25,1471.25202534893,update,Résultat pari #76: void
2025-09-28,1471.25202534893,update,Résultat pari #75: void
2025-09-28,1485.25762534893,update,Résultat pari #74: win
2025-10-05,1460.00762534893,update,Résultat pari #81: loss
2025-10-05,1434.75762534893,update,Résultat pari #80: loss
2025-10-05,1409.50762534893,update,Résultat pari #79: loss
2025-10-05,1423.90012534893,update,Résultat pari #78: win
2025-10-05,1398.65012534893,update,Résultat pari #77: loss
2025-10-13,1374.87012534893,update,Résultat pari #82: loss
2025-10-20,1351.5001253489302,update,Résultat pari #83: loss
2025-10-20,1373.93532534893,update,Résultat pari #84: win
2025-10-20,1398.00642534893,update,Résultat pari #85: win
2025-10-20,1374.63642534893,update,Résultat pari #86: loss
2025-11-02,1399.4086253489302,update,Résultat pari #87: win
2025-11-02,1427.4526253489305,update,Résultat pari #88: win
2025-11-02,1427.4526253489305,update,Résultat pari #89: void
2025-11-02,1404.0826253489304,update,Résultat pari #90: loss
2025-11-02,1416.9361253489303,update,Résultat pari #91: win
2025-11-02,1431.1918253489305,update,Résultat pari #92: win
2025-11-09,1444.0867253489305,update,Résultat pari #97: win
2025-11-09,1456.7383253489304,update,Résultat pari #96: win
2025-11-09,1432.4083253489305,update,Résultat pari #95: loss
2025-11-09,1445.3032253489305,update,Résultat pari #93: win
